category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B15	VERB	488	гнать, выгонять	to oust	заставлять двигаться, перемещаться куда-либо (о движении, совершаемом однократно или в определённом направлении)	to force someone to leave
B15	VERB	489	двигаться	to move	находиться в движении, перемещаться, изменять своё положение в пространстве	to change place or posture; to go, in any manner, from one place or position to another
B15	VERB	490	ходить			
B15	VERB	491	шагать			
B15	NOUN	492	шаг	step		
B15	VERB	493	уходить, идти	to leave, to go		
B15	VERB	494	пойти, отправиться			
B15	VERB	495	приходить			
B15	VERB	496	плавать	to swim		
B15	VERB	497	тонуть			
B15	VERB	498	возить	to carry	обеспечивать доставку кого-либо или чего-либо на транспортном средстве либо иметь при себе в поездке	support and move (someone or something) from one place to another.
B15	VERB	499	нести			
B15	VERB	500	останавливать			
B15	VERB	501	поворачивать, изменять направление			
B15	VERB	502	править, управлять			
B15	VERB	503	щекотать			
B15	VERB	504	пугать			
B15	VERB	505	успевать	to arrive in time (for), to be in time (for)		
B15	VERB	506	помогать			
B15	VERB	507	велеть	to order	твёрдо распорядиться, заявить кому-либо о необходимости сделать что-то, приказать	to give an authoritative direction or instruction to do something
B15	VERB	508	обещать			
B15	VERB	509	кланяться			
B15	VERB	510	звать			
B15	VERB	511	называть			
B16	ADJ	512	здоровый			
B16	ADJ	513	больной	ill	имеющий расстроенное здоровье, поражённый каким-либо заболеванием (о человеке, животном, растении)	in poor health; ill
B16	ADJ	514	бледный (о человеке)	pale	слабо окрашенный, не имеющий загара или румянца, лишённый естественной окраски (о цвете лица, кожи)	having a pallor (a light color, especially due to sickness, shock, fright etc.)
B16	NOUN	515	бедняга	wretch	несчастное существо (обычно человек), тот, кто вызывает сожаление, сочувствие, сострадание	an unhappy, unfortunate, or miserable person
B16	ADJ	516	беременная (женщина)	pregnant	женщина, находящаяся в состоянии беременности	сarrying developing offspring within the body
B16	NOUN	517	болезнь, недуг	illness, sickness	расстройство здоровья живого организма, нарушение его деятельности	the quality or state of being sick or diseased
B16	VERB	518	болеть	to be sick	страдать болезнью, хворать, быть больным	to suffer from illness, to be ill
B16	VERB	519	болеть (ощущать боль)	to pain	больно, чувствуется боль где-нибудь	to hurt; to put to bodily uneasiness or anguish; to afflict with uneasy sensations of any degree of intensity; to torment; to torture
B16	NOUN	520	желтуха	jaundice	желтушное окрашивание кожи и видимых слизистых оболочек, обусловленное повышенным содержанием в крови и тканях билирубина	A morbid condition, characterized by yellowness of the eyes, skin, and urine.
B16	NOUN	521	корь	measles		
B16	NOUN	522	оспа	smallpox, variola		
B16	NOUN	523	серная пробка в ухе			
B16	VERB	524	ушибить			
B16	NOUN	525	синяк			
B16	NOUN	526	шишка, нарост на теле			
B16	VERB	527	пухнуть			
B16	NOUN	528	чесотка			
B16	VERB	529	кашлять	to cough		
B16	NOUN	530	колики			
B16	NOUN	531	нарыв			
B16	NOUN	532	гной	pus	густая жидкость желтовато-зеленоватого или сероватого цвета, обычно с дурным запахом, образующаяся в тканях живого организма при воспалении, гниении, вызванных особыми бактериями	a whitish-yellow or yellow substance composed primarily of dead white blood cells and dead pyogenic bacteria; normally found in regions of bacterial infection
B16	VERB	533	терпеть			
B16	VERB	534	угореть			
B16	NOUN	535	угар			
